run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	experiment_title	experiment_alias	Sampletype	Substrate	Location	Latitude	Longitude	fastq_ftp	sample_title
DRR528401	SAMD00736388	DRX512276	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736388	PA1	Plastic	Undefined plastic	A1	35.834	139.607	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528401/DRR528401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528401/DRR528401_2.fastq.gz	
DRR528614	SAMD00736386	DRX512487	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736386	WT1	Water	Freshwater	T1	35.911	140.496	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528614/DRR528614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528614/DRR528614_2.fastq.gz	
DRR528402	SAMD00736389	DRX512277	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736389	PA2	Plastic	Undefined plastic	A2	35.648	139.841	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528402/DRR528402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528402/DRR528402_2.fastq.gz	
DRR528404	SAMD00736391	DRX512279	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736391	PT2-1	Plastic	Undefined plastic	T2	35.745	140.86	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528404/DRR528404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528404/DRR528404_2.fastq.gz	
DRR528613	SAMD00736385	DRX512486	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736385	WA2	Water	Freshwater	A2	35.648	139.841	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528613/DRR528613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528613/DRR528613_2.fastq.gz	
DRR528403	SAMD00736390	DRX512278	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736390	PT1	Plastic	Undefined plastic	T1	35.911	140.496	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528403/DRR528403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528403/DRR528403_2.fastq.gz	
DRR528405	SAMD00736392	DRX512280	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736392	PT2-2	Plastic	Undefined plastic	T2	35.745	140.86	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528405/DRR528405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528405/DRR528405_2.fastq.gz	
DRR528612	SAMD00736384	DRX512485	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736384	WA1	Water	Freshwater	A1	35.834	139.607	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528612/DRR528612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528612/DRR528612_2.fastq.gz	
DRR528615	SAMD00736387	DRX512488	PRJDB17400	256318	metagenome	Illumina NovaSeq 6000 sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00736387	WT2	Water	Freshwater	T2	35.745	140.86	ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528615/DRR528615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR528/DRR528615/DRR528615_2.fastq.gz	
ERR1995201	SAMEA4461980	ERX2055070	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-21:20:37:543-1	Plastic	PET	1	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1995201/ERR1995201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/001/ERR1995201/ERR1995201_2.fastq.gz	PET 1
ERR1995202	SAMEA4461981	ERX2055071	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-21:20:37:543-2	Plastic	PET	2	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1995202/ERR1995202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/002/ERR1995202/ERR1995202_2.fastq.gz	PET 2
ERR1995206	SAMEA4461979	ERX2055075	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-21:30:12:556-3	Water	Seawater	3	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/006/ERR1995206/ERR1995206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/006/ERR1995206/ERR1995206_2.fastq.gz	Seawater 3
ERR1995157	SAMEA4461984	ERX2055026	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-20:04:33:923-2	Plastic	PHA	2	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1995157/ERR1995157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/007/ERR1995157/ERR1995157_2.fastq.gz	PHA 2
ERR1995158	SAMEA4461985	ERX2055027	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-20:04:33:923-3	Plastic	PHA	3	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1995158/ERR1995158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/008/ERR1995158/ERR1995158_2.fastq.gz	PHA 3
ERR1995199	SAMEA4461987	ERX2055068	PRJEB15404	256318	metagenome	Illumina HiSeq 2500 paired end sequencing	ena-EXPERIMENT-TEXAS A&M CORPUS CHRISTI-31-05-2017-21:12:14:300-2	Non-plastic	Ceramic	2	27.5441666666667	-97.2854722222222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1995199/ERR1995199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR199/009/ERR1995199/ERR1995199_2.fastq.gz	Ceramic 2
