Genes	Count	nr_ssu	slen	Gene_normalized	sample_id	Phenotype
vanM_1_FJ349556_1	4353	73430	226	0.18885965684011863	SRR17656804_unique_run_id	Glycopeptide
aph(3')-Ia_2_EU287476_1	3609	23699	271	0.40459458563107514	ERR10466842_unique_run_id	Aminoglycoside
tet(39)_1_KT346360_1	3061	59516	373	0.09927805477140263	SRR17656810_unique_run_id	Tetracycline
tet(S)_3_X92946_1	2851	73430	646	0.04327366388831384	SRR17656804_unique_run_id	Tetracycline
tmexD1_1_MK347425_1	2713	67198	1044	0.02784360371973304	DRR528403_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	2692	59516	491	0.06632730091988476	SRR17656810_unique_run_id	Multiple
aph(3')-Ia_2_EU287476_1	2355	26239	271	0.23845522193169263	ERR10466844_unique_run_id	Aminoglycoside
tet(39)_1_KT346360_1	2336	54405	373	0.08288151641952558	SRR17656811_unique_run_id	Tetracycline
tet(39)_1_KT346360_1	2162	87972	373	0.04743893042253634	SRR17656801_unique_run_id	Tetracycline
tet(39)_1_KT346360_1	1958	75010	373	0.050386847437321136	SRR17656799_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	1873	54405	491	0.050483559320035246	SRR17656811_unique_run_id	Multiple
OqxB_1_EU370913_1	1726	71425	1050	0.01657042852142607	SRR17656795_unique_run_id	Multiple
OqxB_1_EU370913_1	1667	87972	1050	0.012993744762944053	SRR17656801_unique_run_id	Multiple
tet(39)_1_KT346360_1	1604	61484	373	0.05035770329664005	SRR17656803_unique_run_id	Tetracycline
tet(39)_1_KT346360_1	1602	70517	373	0.0438522971720051	SRR17656798_unique_run_id	Tetracycline
tet(C)_1_NC_003123_1	1486	23699	396	0.11400557752724512	ERR10466842_unique_run_id	Tetracycline
mph(E)_1_DQ839391_1	1412	59516	294	0.05810133718115245	SRR17656810_unique_run_id	Macrolide
vanM_1_FJ349556_1	1247	72555	226	0.05475492196033159	SRR17656794_unique_run_id	Glycopeptide
aph(3')-Ia_2_EU287476_1	1240	21774	271	0.1513026979264006	ERR10466843_unique_run_id	Aminoglycoside
tet(C)_1_NC_003123_1	1233	26239	396	0.08543840016076001	ERR10466844_unique_run_id	Tetracycline
OqxB_1_EU370913_1	1215	73466	1050	0.011340522924112613	SRR8369861_unique_run_id	Multiple
mdt(A)_1_X92946_1	1210	73430	418	0.028383637836249347	SRR17656804_unique_run_id	Multiple
blaCMY-98_1_KC603538_1	1177	67198	376	0.03354013195681482	DRR528403_unique_run_id	Beta-lactam
mph(E)_1_DQ839391_1	1022	54405	294	0.0460041750364331	SRR17656811_unique_run_id	Macrolide
blaCMY-18_1_AY743434_1	1003	67198	383	0.02805939533976868	DRR528403_unique_run_id	Beta-lactam
msr(E)_1_FR751518_1	978	70517	491	0.020337428131541824	SRR17656798_unique_run_id	Multiple
tet(34)_1_AB061440_1	975	224532	154	0.020301968353916407	SRR26541425_unique_run_id	Tetracycline
tet(G)_3_S52437_1	974	28525	393	0.06255661633360317	SRR18313617_unique_run_id	Tetracycline
tet(35)_1_AF353562_1	972	224532	369	0.008446837715130398	SRR26541425_unique_run_id	Tetracycline
OqxB_1_EU370913_1	972	72555	1050	0.009186331551433889	SRR17656794_unique_run_id	Multiple
tet(W)_1_DQ060146_1	885	23935	639	0.041662130711992866	SRR24947116_unique_run_id	Tetracycline
msr(E)_1_FR751518_1	881	33486	491	0.038580125834269674	SRR17656809_unique_run_id	Multiple
tet(39)_1_KT346360_1	866	72555	373	0.02303956155661149	SRR17656794_unique_run_id	Tetracycline
tet(36)_1_AJ514254_1	859	73466	640	0.01315404404758664	SRR8369861_unique_run_id	Tetracycline
